instance,bandit,timeout,objective,integralPrimalGap
examples/csp/csp_100/carseq_100_8_20_77.txt,ucb-tuned,300,0,2.425
examples/csp/csp_100/carseq_100_8_20_72.txt,ucb-tuned,300,0,2.948
examples/csp/csp_100/carseq_100_8_20_67.txt,ucb-tuned,300,0,3.006
examples/csp/csp_100/carseq_100_8_20_73.txt,ucb-tuned,300,0,3.560
examples/csp/csp_100/carseq_100_8_20_82.txt,ucb-tuned,300,0,3.685
examples/csp/csp_100/carseq_100_8_20_90.txt,ucb-tuned,300,0,1.090
examples/csp/csp_100/carseq_100_8_20_94.txt,ucb-tuned,300,0,1.082
examples/csp/csp_100/carseq_100_8_20_81.txt,ucb-tuned,300,0,6.301
examples/csp/csp_100/carseq_100_8_20_62.txt,ucb-tuned,300,0,10.107
examples/csp/csp_100/carseq_100_8_20_71.txt,ucb-tuned,300,0,11.530
examples/csp/csp_100/carseq_100_8_20_64.txt,ucb-tuned,300,0,13.027
examples/csp/csp_100/carseq_100_8_20_88.txt,ucb-tuned,300,0,10.901
examples/csp/csp_300/carseq_300_8_20_38.txt,ucb-tuned,300,0,6.189
examples/csp/csp_100/16-81.txt,ucb-tuned,300,0,44.771
examples/csp/csp_100/36-92.txt,ucb-tuned,300,2,2.926
examples/csp/csp_100/21-90.txt,ucb-tuned,300,2,1.727
examples/csp/csp_100/6-76.txt,ucb-tuned,300,6,0.890
examples/csp/csp_100/4-72.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_85.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_86.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_98.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_99.txt,ucb-tuned,300,1,300.000
examples/csp/csp_200/pb_200_06.txt,ucb-tuned,300,6,300.000
examples/csp/csp_200/pb_200_07.txt,ucb-tuned,300,1,300.000
examples/csp/csp_200/pb_200_08.txt,ucb-tuned,300,8,300.000
examples/csp/csp_200/pb_200_09.txt,ucb-tuned,300,10,300.000
examples/csp/csp_300/carseq_300_8_20_76.txt,ucb-tuned,300,0,11.619
examples/csp/csp_200/pb_200_10.txt,ucb-tuned,300,19,300.000
examples/csp/csp_300/carseq_300_8_20_62.txt,ucb-tuned,300,0,19.353
examples/csp/csp_300/carseq_300_8_20_40.txt,ucb-tuned,300,2,300.000
examples/csp/csp_300/carseq_300_8_20_56.txt,ucb-tuned,300,0,25.065
examples/csp/csp_300/carseq_300_8_20_78.txt,ucb-tuned,300,0,38.589
examples/csp/csp_300/carseq_300_8_20_45.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_47.txt,ucb-tuned,300,0,65.472
examples/csp/csp_100/carseq_100_8_20_64.txt,epsilongreedy-tuned,300,0,8.739
examples/csp/csp_100/carseq_100_8_20_67.txt,epsilongreedy-tuned,300,0,0.832
examples/csp/csp_300/carseq_300_8_20_80.txt,ucb-tuned,300,0,85.826
examples/csp/csp_300/carseq_300_8_20_53.txt,ucb-tuned,300,0,212.377
examples/csp/csp_100/carseq_100_8_20_73.txt,epsilongreedy-tuned,300,0,0.868
examples/csp/csp_100/carseq_100_8_20_77.txt,epsilongreedy-tuned,300,0,73.594
examples/csp/csp_300/carseq_300_8_20_81.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/pb_300_06.txt,ucb-tuned,300,7,300.000
examples/csp/csp_300/pb_300_07.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/pb_300_08.txt,ucb-tuned,300,8,300.000
examples/csp/csp_300/pb_300_09.txt,ucb-tuned,300,7,300.000
examples/csp/csp_300/pb_300_10.txt,ucb-tuned,300,24,300.000
