bandit,instance,reward,timeout,seed,-a,Result,bestObj,solOverTime,integralPrimalGap
ppo,examples/pdptw/pdptw_100/lr207.txt,r3,900,0,ppo --device=cuda:7 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr207 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730877574895180,======,92001192610.0,[],900.0
ppo,examples/pdptw/pdptw_100/lr109.txt,r3,900,0,ppo --device=cuda:2 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr109 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730877638752239,======,94004269384.0,[],900.0
ppo,examples/pdptw/pdptw_100/lc205.txt,r3,900,0,ppo --device=cuda:4 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lc205 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730877614217271,======,92002245502.0,[],900.0
ppo,examples/pdptw/pdptw_100/lr108.txt,r3,900,0,ppo --device=cuda:1 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr108 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730877616860550,======,86003216662.0,[],900.0
ppo,examples/pdptw/pdptw_100/lr110.txt,r3,900,0,ppo --device=cuda:3 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr110 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730877608759175,======,84004347508.0,[],900.0
ppo,examples/pdptw/pdptw_100/lr206.txt,r3,900,0,ppo --device=cuda:6 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr206 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730877620787992,======,90001197198.0,[],900.0
ppo,examples/pdptw/pdptw_100/lr208.txt,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr208 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730890707559543,======,82003395618.0,[],900.0
ppo,examples/pdptw/pdptw_100/lr209.txt,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr209 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730891389831014,======,86002277547.0,[],900.0
ppo,examples/pdptw/pdptw_100/lr210.txt,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lr210 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730891701982530,======,84002315500.0,[],900.0
ppo,examples/pdptw/pdptw_100/lrc106.txt,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc106 --communication=unix-socket -i=/tmp/pipes/unix-socket-1730892071717658,======,90003343492.0,[],900.0
