instance,bandit,timeout,unroutedNodes,nVehicles,objective
bench/LC1_6_3.txt,epsilonGreedy,300,0,68,19677.536 
bench/LC1_6_4.txt,epsilonGreedy,300,0,59,19631.274 
bench/LC1_6_1.txt,epsilonGreedy,300,0,70,16969.924 
bench/LC1_6_2.txt,epsilonGreedy,300,0,69,17611.795 
bench/LC1_2_2.txt,epsilonGreedy,300,210,0,0.0 
bench/LC1_6_5.txt,epsilonGreedy,300,0,71,18031.883 
bench/LC1_2_3.txt,epsilonGreedy,300,0,19,3006.817 
bench/LC1_2_1.txt,epsilonGreedy,300,0,22,2872.817 
bench/LC1_2_4.txt,epsilonGreedy,300,0,19,3166.132 
bench/LC1_4_1.txt,epsilonGreedy,300,0,44,7540.977 
bench/LC1_2_5.txt,epsilonGreedy,300,0,21,2911.595 
bench/LC1_4_2.txt,epsilonGreedy,300,0,45,8451.277 
bench/LC1_4_3.txt,epsilonGreedy,300,0,43,10152.821 
bench/LC1_4_4.txt,epsilonGreedy,300,0,39,9469.812 
bench/lc101.txt,epsilonGreedy,300,0,10,828.96 
bench/LC1_4_5.txt,epsilonGreedy,300,0,45,8119.435 
bench/lc102.txt,epsilonGreedy,300,0,10,828.96 
bench/lc104.txt,epsilonGreedy,300,0,10,819.908 
bench/lc105.txt,epsilonGreedy,300,0,10,828.96 
bench/lc103.txt,epsilonGreedy,300,0,10,836.704 
bench/LC1_6_2.txt,epsilonGreedy,300,0,71,18623.005 
bench/LC1_6_3.txt,epsilonGreedy,300,0,70,18855.794 
bench/LC1_6_1.txt,epsilonGreedy,300,0,69,16014.453 
bench/LC1_6_4.txt,epsilonGreedy,300,0,63,18352.947 
bench/LC1_2_1.txt,epsilonGreedy,300,0,21,2789.482 
bench/LC1_2_2.txt,epsilonGreedy,300,0,21,3078.21 
bench/LC1_2_3.txt,epsilonGreedy,300,0,21,3166.112 
bench/LC1_6_5.txt,epsilonGreedy,300,0,69,16710.27 
bench/LC1_4_1.txt,epsilonGreedy,300,0,44,7900.611 
bench/LC1_4_2.txt,epsilonGreedy,300,0,46,8506.606 
bench/LC1_2_5.txt,epsilonGreedy,300,0,21,2738.518 
bench/LC1_2_4.txt,epsilonGreedy,300,0,18,2917.236 
bench/LC1_4_3.txt,epsilonGreedy,300,0,43,9946.709 
bench/LC1_4_4.txt,epsilonGreedy,300,0,39,10315.641 
bench/lc103.txt,epsilonGreedy,300,104,0,0.0 
bench/lc101.txt,epsilonGreedy,300,0,10,828.96 
bench/LC1_4_5.txt,epsilonGreedy,300,0,47,9111.518 
bench/lc102.txt,epsilonGreedy,300,0,10,828.96 
bench/lc104.txt,epsilonGreedy,300,0,10,819.908 
bench/lc105.txt,epsilonGreedy,300,0,10,828.96 
bench/LC1_6_2.txt,bestSlopeFirst,300,0,69,18558.229 
bench/LC1_6_3.txt,bestSlopeFirst,300,0,67,20452.009 
bench/LC1_6_1.txt,bestSlopeFirst,300,0,66,15356.77 
bench/LC1_6_4.txt,bestSlopeFirst,300,0,60,20652.819 
bench/LC1_6_5.txt,bestSlopeFirst,300,0,69,16917.655 
bench/LC1_2_1.txt,bestSlopeFirst,300,0,22,2875.892 
bench/LC1_2_2.txt,bestSlopeFirst,300,0,20,2981.706 
bench/LC1_2_3.txt,bestSlopeFirst,300,0,20,3098.801 
bench/LC1_2_4.txt,bestSlopeFirst,300,0,19,3061.182 
bench/LC1_4_1.txt,bestSlopeFirst,300,0,44,7853.94 
bench/LC1_4_2.txt,bestSlopeFirst,300,0,47,8935.486 
bench/LC1_2_5.txt,bestSlopeFirst,300,0,22,3016.415 
bench/LC1_4_3.txt,bestSlopeFirst,300,0,44,9396.318 
bench/LC1_4_4.txt,bestSlopeFirst,300,0,39,8610.881 
bench/LC1_4_5.txt,bestSlopeFirst,300,0,47,8509.541 
bench/lc101.txt,bestSlopeFirst,300,0,10,828.96 
bench/lc102.txt,bestSlopeFirst,300,0,10,828.96 
bench/lc103.txt,bestSlopeFirst,300,0,10,828.089 
bench/lc104.txt,bestSlopeFirst,300,0,10,819.908 
bench/lc105.txt,bestSlopeFirst,300,0,10,828.96 
bench/LC1_6_1.txt,bestSlopeFirst,300,0,71,16993.567 
bench/LC1_6_3.txt,bestSlopeFirst,300,0,68,18762.245 
bench/LC1_6_2.txt,bestSlopeFirst,300,0,74,19776.58 
bench/LC1_6_4.txt,bestSlopeFirst,300,0,62,19057.81 
bench/LC1_2_2.txt,bestSlopeFirst,300,0,21,3173.534 
bench/LC1_6_5.txt,bestSlopeFirst,300,0,69,16963.74 
bench/LC1_2_3.txt,bestSlopeFirst,300,0,20,3060.122 
bench/LC1_2_1.txt,bestSlopeFirst,300,0,22,2892.359 
bench/LC1_2_4.txt,bestSlopeFirst,300,0,18,3112.047 
bench/LC1_2_5.txt,bestSlopeFirst,300,0,21,2780.232 
bench/LC1_4_1.txt,bestSlopeFirst,300,0,45,8055.77 
bench/LC1_4_2.txt,bestSlopeFirst,300,0,46,9094.555 
bench/LC1_4_3.txt,bestSlopeFirst,300,0,42,9312.948 
bench/LC1_4_4.txt,bestSlopeFirst,300,0,37,8989.194 
