instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective
bench/LC1_6_4.txt,epsilonGreedy,300,0,61,18026.135,79026135
bench/LC1_6_3.txt,epsilonGreedy,300,0,67,19480.205,86480205
bench/LC1_6_2.txt,epsilonGreedy,300,0,69,17369.364,86369364
bench/LC1_6_1.txt,epsilonGreedy,300,0,67,16124.014,83124014
bench/LC1_2_2.txt,epsilonGreedy,300,0,22,3204.965,25204965
bench/LC1_6_5.txt,epsilonGreedy,300,0,66,16151.231,82151231
bench/LC1_2_3.txt,epsilonGreedy,300,0,19,3068.957,22068957
bench/LC1_2_1.txt,epsilonGreedy,300,0,21,2798.462,23798462
bench/LC1_2_4.txt,epsilonGreedy,300,0,19,2959.444,21959444
bench/LC1_4_1.txt,epsilonGreedy,300,0,43,7911.482,50911482
bench/LC1_4_2.txt,epsilonGreedy,300,0,44,8055.717,52055717
bench/LC1_2_5.txt,epsilonGreedy,300,0,22,2942.832,24942832
bench/LC1_4_3.txt,epsilonGreedy,300,0,43,9921.584,52921584
bench/LC1_4_4.txt,epsilonGreedy,300,0,38,10498.72,48498720
bench/LC1_4_5.txt,epsilonGreedy,300,0,46,8405.227,54405227
bench/lc101.txt,epsilonGreedy,300,0,10,828.96,10828960
bench/lc102.txt,epsilonGreedy,300,0,10,828.96,10828960
bench/lc103.txt,epsilonGreedy,300,0,10,828.089,10828089
bench/lc104.txt,epsilonGreedy,300,0,10,819.908,10819908
bench/lc105.txt,epsilonGreedy,300,0,10,828.96,10828960
bench/LC1_6_3.txt,bestSlopeFirst,300,0,66,18413.353,84413353
bench/LC1_6_4.txt,bestSlopeFirst,300,0,61,19422.97,80422970
bench/LC1_6_1.txt,bestSlopeFirst,300,0,69,16359.506,85359506
bench/LC1_6_2.txt,bestSlopeFirst,300,0,68,17260.811,85260811
bench/LC1_2_2.txt,bestSlopeFirst,300,0,21,3120.993,24120993
bench/LC1_6_5.txt,bestSlopeFirst,300,0,73,17468.71,90468710
bench/LC1_2_1.txt,bestSlopeFirst,300,0,21,2813.299,23813299
bench/LC1_2_3.txt,bestSlopeFirst,300,0,19,3224.695,22224695
bench/LC1_2_4.txt,bestSlopeFirst,300,0,18,3192.772,21192772
bench/LC1_2_5.txt,bestSlopeFirst,300,0,21,3029.741,24029741
bench/LC1_4_1.txt,bestSlopeFirst,300,0,45,8164.031,53164031
bench/LC1_4_2.txt,bestSlopeFirst,300,0,44,8164.122,52164122
bench/lc101.txt,bestSlopeFirst,300,0,10,828.96,10828960
bench/LC1_4_3.txt,bestSlopeFirst,300,0,44,9510.696,53510696
bench/LC1_4_5.txt,bestSlopeFirst,300,0,47,8717.122,55717122
bench/LC1_4_4.txt,bestSlopeFirst,300,0,37,9421.13,46421130
bench/lc104.txt,bestSlopeFirst,300,0,10,824.802,10824802
bench/lc105.txt,bestSlopeFirst,300,0,10,828.96,10828960
bench/lc103.txt,bestSlopeFirst,300,0,10,837.237,10837237
bench/lc102.txt,bestSlopeFirst,300,0,10,828.96,10828960
bench/LC1_6_3.txt,bandit,300,0,71,20440.673,91440673
bench/LC1_6_2.txt,bandit,300,0,75,20750.679,95750679
bench/LC1_6_1.txt,bandit,300,0,77,18341.313,95341313
bench/LC1_6_4.txt,bandit,300,0,74,25309.626,99309626
bench/LC1_6_5.txt,bandit,300,0,75,18815.489,93815489
bench/LC1_2_1.txt,bandit,300,0,21,2813.299,23813299
bench/LC1_2_3.txt,bandit,300,0,20,3415.409,23415409
bench/LC1_2_2.txt,bandit,300,0,22,3150.507,25150507
bench/LC1_2_5.txt,bandit,300,0,21,2919.18,23919180
bench/LC1_2_4.txt,bandit,300,0,19,3291.642,22291642
bench/LC1_4_2.txt,bandit,300,0,47,9755.383,56755383
bench/LC1_4_1.txt,bandit,300,0,42,7481.454,49481454
bench/LC1_4_4.txt,bandit,300,0,38,9808.483,47808483
bench/LC1_4_3.txt,bandit,300,0,46,9765.845,55765845
bench/LC1_4_5.txt,bandit,300,0,46,8244.025,54244025
bench/lc101.txt,bandit,300,0,10,828.96,10828960
bench/lc104.txt,bandit,300,0,10,823.52,10823520
bench/lc103.txt,bandit,300,0,10,837.437,10837437
bench/lc105.txt,bandit,300,0,10,828.96,10828960
bench/lc102.txt,bandit,300,0,10,828.96,10828960
bench/LC1_6_3.txt,random,300,0,74,19776.277,93776277
bench/LC1_6_2.txt,random,300,0,69,17781.776,86781776
bench/LC1_6_4.txt,random,300,0,71,24469.942,95469942
bench/LC1_6_1.txt,random,300,0,69,16770.666,85770666
bench/LC1_2_1.txt,random,300,0,21,2787.678,23787678
bench/LC1_6_5.txt,random,300,0,75,19120.233,94120233
bench/LC1_2_3.txt,random,300,0,21,3240.838,24240838
bench/LC1_2_2.txt,random,300,0,22,3390.27,25390270
bench/LC1_2_4.txt,random,300,0,19,3271.346,22271346
bench/LC1_4_1.txt,random,300,0,45,7973.192,52973192
bench/LC1_4_2.txt,random,300,0,48,9005.815,57005815
bench/LC1_2_5.txt,random,300,0,22,2851.837,24851837
bench/LC1_4_3.txt,random,300,0,47,11180.706,58180706
bench/LC1_4_4.txt,random,300,0,38,9885.628,47885628
bench/LC1_4_5.txt,random,300,0,49,8768.552,57768552
bench/lc101.txt,random,300,0,10,828.96,10828960
bench/lc102.txt,random,300,0,10,828.96,10828960
bench/lc103.txt,random,300,0,10,828.089,10828089
bench/lc104.txt,random,300,0,10,818.626,10818626
bench/lc105.txt,random,300,0,10,828.96,10828960
bench/LC1_6_3.txt,banditrollingaverage,300,0,68,21244.237,89244237
bench/LC1_6_2.txt,banditrollingaverage,300,0,74,19276.017,93276017
bench/LC1_6_4.txt,banditrollingaverage,300,0,74,25430.754,99430754
bench/LC1_6_1.txt,banditrollingaverage,300,0,69,16323.587,85323587
bench/LC1_2_2.txt,banditrollingaverage,300,0,23,3213.061,26213061
bench/LC1_2_1.txt,banditrollingaverage,300,0,21,2804.307,23804307
bench/LC1_6_5.txt,banditrollingaverage,300,0,78,19151.343,97151343
bench/LC1_2_3.txt,banditrollingaverage,300,0,20,3344.055,23344055
bench/LC1_2_4.txt,banditrollingaverage,300,0,19,4168.579,23168579
bench/LC1_2_5.txt,banditrollingaverage,300,0,22,2968.055,24968055
bench/LC1_4_1.txt,banditrollingaverage,300,0,43,7925.568,50925568
bench/LC1_4_2.txt,banditrollingaverage,300,0,46,8336.26,54336260
bench/LC1_4_4.txt,banditrollingaverage,300,0,39,9073.736,48073736
bench/LC1_4_3.txt,banditrollingaverage,300,0,47,10481.343,57481343
bench/lc101.txt,banditrollingaverage,300,0,10,828.96,10828960
bench/LC1_4_5.txt,banditrollingaverage,300,0,47,8688.32,55688320
bench/lc103.txt,banditrollingaverage,300,0,10,828.089,10828089
bench/lc104.txt,banditrollingaverage,300,0,10,824.802,10824802
bench/lc105.txt,banditrollingaverage,300,0,10,828.96,10828960
bench/lc102.txt,banditrollingaverage,300,0,10,828.96,10828960
bench/LC1_6_4.txt,banditaftermove,300,0,68,19813.363,87813363
bench/LC1_6_3.txt,banditaftermove,300,0,72,19335.576,91335576
bench/LC1_6_1.txt,banditaftermove,300,0,69,16254.646,85254646
bench/LC1_6_2.txt,banditaftermove,300,0,73,17928.602,90928602
bench/LC1_2_1.txt,banditaftermove,300,0,22,2953.057,24953057
bench/LC1_2_2.txt,banditaftermove,300,0,22,3359.581,25359581
bench/LC1_2_3.txt,banditaftermove,300,0,20,3496.105,23496105
