bandit,instance,reward,timeout,seed,-a,Result,bestObj,solOverTime,integralPrimalGap,history
ppo,examples/tsp/tsplib/pr124.tsp,r3,900,0,ppo --device=cuda:2 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr124 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155631092773,======,120002124000.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr136.tsp,r3,900,0,ppo --device=cuda:1 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr136 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155738374714,======,132018250000.0,[],900.0,[]
ppo,examples/tsp/tsplib/linhp318.tsp,r3,900,0,ppo --device=cuda:0 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-linhp318 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155677429849,======,314002450368.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroB150.tsp,r3,900,0,ppo --device=cuda:4 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroB150 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155658028796,======,146004736067.0,[],900.0,[]
ppo,examples/tsp/tsplib/pcb442.tsp,r3,900,0,ppo --device=cuda:3 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pcb442 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155812434340,======,438000600000.0,[],900.0,[]
ppo,examples/tsp/tsplib/brazil58.tsp,r3,900,0,ppo --device=cuda:3 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-brazil58 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155625858786,======,52009025000.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr107.tsp,r3,900,0,ppo --device=cuda:4 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr107 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155618333171,======,103001330057.0,[],900.0,[]
ppo,examples/tsp/tsplib/si175.tsp,r3,900,0,ppo --device=cuda:2 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-si175 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822156317883350,======,171000837000.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr226.tsp,r3,900,0,ppo --device=cuda:6 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr226 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822155762845956,======,222002402290.0,[],900.0,[]
ppo,examples/tsp/tsplib/d657.tsp,r3,900,0,ppo --device=cuda:7 --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-d657 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822156022245511,======,653002905305.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr76.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr76 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822162598317546,======,72008635546.0,[],900.0,[]
ppo,examples/tsp/tsplib/gr137.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-gr137 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822162138406313,======,131007093461.0,[],900.0,[]
ppo,examples/tsp/tsplib/bier127.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-bier127 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822162240523620,======,123005290621.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroA100.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroA100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822162857674548,======,94008133761.0,[],900.0,[]
