instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective
examples/pdptw/pdptw_200/LC1_2_1.txt,ucbNew,300,0,21,2794.096,23794096
examples/pdptw/pdptw_200/LC1_2_3.txt,ucbNew,300,0,20,3803.763,23803763
examples/pdptw/pdptw_200/LC1_2_2.txt,ucbNew,300,0,23,3403.603,26403603
examples/pdptw/pdptw_200/LC1_2_4.txt,ucbNew,300,0,19,3612.821,22612821
examples/pdptw/pdptw_200/LC1_2_5.txt,ucbNew,300,0,23,3085.463,26085463
examples/pdptw/pdptw_400/LC1_4_2.txt,ucbNew,300,0,58,12094.51,70094510
examples/pdptw/pdptw_400/LC1_4_1.txt,ucbNew,300,0,46,8368.753,54368753
examples/pdptw/pdptw_400/LC1_4_3.txt,ucbNew,300,8,49,9914.162,8058914162
examples/pdptw/pdptw_400/LC1_4_5.txt,ucbNew,300,0,44,8103.58,52103580
examples/pdptw/pdptw_400/LC1_4_4.txt,ucbNew,300,0,42,12098.268,54098268
examples/pdptw/pdptw_600/LC1_6_1.txt,ucbNew,300,12,118,31029.158,12149029158
examples/pdptw/pdptw_600/LC1_6_2.txt,ucbNew,300,232,54,19206.596,232073206596
examples/pdptw/pdptw_600/LC1_6_4.txt,ucbNew,300,0,66,25404.741,91404741
examples/pdptw/pdptw_600/LC1_6_5.txt,ucbNew,300,10,111,29592.39,10140592390
examples/pdptw/pdptw_600/LC1_6_3.txt,ucbNew,300,274,38,13909.572,274051909572
examples/pdptw/pdptw_100/lc101.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,ucbNew,300,0,10,835.077,10835077
examples/pdptw/pdptw_100/lc104.txt,ucbNew,300,0,10,824.802,10824802
examples/pdptw/pdptw_100/lc105.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,epsilonGreedyNew,300,0,21,2798.462,23798462
examples/pdptw/pdptw_200/LC1_2_2.txt,epsilonGreedyNew,300,0,22,3155.051,25155051
examples/pdptw/pdptw_200/LC1_2_3.txt,epsilonGreedyNew,300,0,20,3480.979,23480979
examples/pdptw/pdptw_200/LC1_2_4.txt,epsilonGreedyNew,300,0,19,3101.44,22101440
examples/pdptw/pdptw_200/LC1_2_5.txt,epsilonGreedyNew,300,0,22,2980.787,24980787
examples/pdptw/pdptw_400/LC1_4_1.txt,epsilonGreedyNew,300,0,44,8017.971,52017971
examples/pdptw/pdptw_400/LC1_4_2.txt,epsilonGreedyNew,300,0,46,9027.175,55027175
examples/pdptw/pdptw_400/LC1_4_3.txt,epsilonGreedyNew,300,0,42,9987.371,51987371
examples/pdptw/pdptw_400/LC1_4_4.txt,epsilonGreedyNew,300,0,38,8964.93,46964930
examples/pdptw/pdptw_400/LC1_4_5.txt,epsilonGreedyNew,300,0,45,7975.389,52975389
examples/pdptw/pdptw_600/LC1_6_1.txt,epsilonGreedyNew,300,0,69,16690.888,85690888
examples/pdptw/pdptw_600/LC1_6_2.txt,epsilonGreedyNew,300,0,68,17405.218,85405218
examples/pdptw/pdptw_600/LC1_6_3.txt,epsilonGreedyNew,300,0,67,20030.897,87030897
examples/pdptw/pdptw_600/LC1_6_5.txt,epsilonGreedyNew,300,0,72,18011.876,90011876
examples/pdptw/pdptw_600/LC1_6_4.txt,epsilonGreedyNew,300,0,67,19170.525,86170525
examples/pdptw/pdptw_100/lc101.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,epsilonGreedyNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,epsilonGreedyNew,300,0,10,819.908,10819908
examples/pdptw/pdptw_100/lc105.txt,epsilonGreedyNew,300,0,10,828.96,10828960
