instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap
examples/pdptw/pdptw_200/LC1_2_5.txt,ppo,300,,,,,
examples/pdptw/pdptw_200/LC1_2_2.txt,ppo,300,,,,,
examples/pdptw/pdptw_200/LC1_2_1.txt,ppo,300,0,25,3343.521,28343521,79.542
examples/pdptw/pdptw_400/LC1_4_2.txt,ppo,300,0,48,9886.054,57886054,97.776
examples/pdptw/pdptw_200/LC1_2_4.txt,ppo,300,0,20,3386.372,23386372,86.632
examples/pdptw/pdptw_400/LC1_4_5.txt,ppo,300,0,50,9355.843,59355843,121.756
examples/pdptw/pdptw_200/LC1_2_3.txt,ppo,300,0,20,3482.672,23482672,50.395
examples/pdptw/pdptw_400/LC1_4_1.txt,ppo,300,0,45,8477.59,53477590,104.140
examples/pdptw/pdptw_400/LC1_4_4.txt,ppo,300,0,39,10088.075,49088075,139.369
examples/pdptw/pdptw_400/LC1_4_3.txt,ppo,300,0,44,9410.259,53410259,92.165
examples/pdptw/pdptw_600/LC1_6_1.txt,ppo,300,0,84,19745.371,103745371,189.825
examples/pdptw/pdptw_100/lc104.txt,ppo,300,,,,,
examples/pdptw/pdptw_600/LC1_6_2.txt,ppo,300,0,92,23365.201,115365201,229.791
examples/pdptw/pdptw_100/lc103.txt,ppo,300,0,10,828.089,10828089,50.648
examples/pdptw/pdptw_600/LC1_6_4.txt,ppo,300,0,76,34563.926,110563926,298.366
examples/pdptw/pdptw_100/lc101.txt,ppo,300,0,10,828.96,10828960,10.581
examples/pdptw/pdptw_600/LC1_6_5.txt,ppo,300,0,93,24121.433,117121433,258.427
examples/pdptw/pdptw_100/lc102.txt,ppo,300,0,11,881.933,11881933,31.877
examples/pdptw/pdptw_100/lc105.txt,ppo,300,0,10,828.96,10828960,18.132
examples/pdptw/pdptw_600/LC1_6_3.txt,ppo,300,0,78,23238.929,101238929,226.319
examples/pdptw/pdptw_200/LC1_2_1.txt,ppo,300,0,23,3048.706,26048706,55.045
examples/pdptw/pdptw_200/LC1_2_2.txt,ppo,300,0,22,3102.457,25102457,47.420
examples/pdptw/pdptw_200/LC1_2_5.txt,ppo,300,,,,,
