instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17310.109,30072310109,300.000
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,64,12035.156,76035156,264.574
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,19,3690.47,22690470,130.354
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,58,10728.594,68728594,224.632
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,22,3258.769,25258769,107.220
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,25,3688.78,28688780,99.738
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,24,3211.764,27211764,68.570
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,25,3611.136,28611136,94.917
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12707.204,50045707204,300.000
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,24,65,18064.96,24083064960,300.000
examples/pdptw/pdptw_600/LC1_6_5.txt,ucb-tuned,300,46,127,40073.162,46167073162,300.000
examples/pdptw/pdptw_600/LC1_6_1.txt,ucb-tuned,300,92,130,34786.399,92164786399,300.000
examples/pdptw/pdptw_100/lc101.txt,ucb-tuned,300,0,11,869.913,11869913,18.537
examples/pdptw/pdptw_100/lc102.txt,ucb-tuned,300,0,10,828.96,10828960,4.690
examples/pdptw/pdptw_100/lc103.txt,ucb-tuned,300,0,11,900.862,11900862,39.470
examples/pdptw/pdptw_600/LC1_6_2.txt,ucb-tuned,300,228,65,20727.085,228085727085,300.000
examples/pdptw/pdptw_100/lc104.txt,ucb-tuned,300,0,10,886.164,10886164,13.714
examples/pdptw/pdptw_100/lc105.txt,ucb-tuned,300,0,10,828.96,10828960,13.458
examples/pdptw/pdptw_600/LC1_6_4.txt,ucb-tuned,300,330,26,10227.515,330036227515,300.000
examples/pdptw/pdptw_600/LC1_6_3.txt,ucb-tuned,300,314,36,13009.973,314049009973,300.000
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,20,3025.177,23025177,44.801
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,22,2861.1,24861100,27.943
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3090.124,22090124,54.210
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3060.24,23060240,46.195
examples/pdptw/pdptw_200/LC1_2_5.txt,egreedy-tuned,300,0,21,2902.73,23902730,38.153
examples/pdptw/pdptw_400/LC1_4_2.txt,egreedy-tuned,300,0,44,8616.708,52616708,54.452
examples/pdptw/pdptw_400/LC1_4_1.txt,egreedy-tuned,300,0,46,8156.59,54156590,59.743
examples/pdptw/pdptw_400/LC1_4_4.txt,egreedy-tuned,300,0,39,7899.249,46899249,116.650
examples/pdptw/pdptw_400/LC1_4_3.txt,egreedy-tuned,300,0,42,9847.57,51847570,42.155
examples/pdptw/pdptw_400/LC1_4_5.txt,egreedy-tuned,300,0,48,8996.374,56996374,84.561
examples/pdptw/pdptw_600/LC1_6_1.txt,egreedy-tuned,300,0,72,17902.854,89902854,90.153
examples/pdptw/pdptw_600/LC1_6_2.txt,egreedy-tuned,300,0,69,17578.083,86578083,79.938
examples/pdptw/pdptw_600/LC1_6_3.txt,egreedy-tuned,300,0,68,20140.062,88140062,114.062
examples/pdptw/pdptw_600/LC1_6_4.txt,egreedy-tuned,300,0,70,20760.105,90760105,159.252
examples/pdptw/pdptw_600/LC1_6_5.txt,egreedy-tuned,300,0,70,17252.934,87252934,85.325
examples/pdptw/pdptw_100/lc101.txt,egreedy-tuned,300,0,10,828.96,10828960,1.145
examples/pdptw/pdptw_100/lc102.txt,egreedy-tuned,300,0,10,828.96,10828960,2.585
examples/pdptw/pdptw_100/lc104.txt,egreedy-tuned,300,0,10,819.908,10819908,15.286
examples/pdptw/pdptw_100/lc103.txt,egreedy-tuned,300,0,10,836.704,10836704,57.463
examples/pdptw/pdptw_100/lc105.txt,egreedy-tuned,300,0,10,828.96,10828960,1.306
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,25,3395.919,28395919,85.893
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,21,3520.061,24520061,124.274
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,25,3580.848,28580848,101.039
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,21,3429.853,24429853,125.476
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,63,11858.472,74858472,264.439
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,25,3473.327,28473327,95.847
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17251.002,30072251002,300.000
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12673.923,50045673923,300.000
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,50,10664.925,60664925,221.616
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,26,65,18611.491,26083611491,300.000
examples/pdptw/pdptw_600/LC1_6_1.txt,ucb-tuned,300,56,138,38479.702,56176479702,300.000
examples/pdptw/pdptw_600/LC1_6_2.txt,ucb-tuned,300,220,65,20996.335,220085996335,300.000
examples/pdptw/pdptw_600/LC1_6_4.txt,ucb-tuned,300,330,26,10251.546,330036251546,300.000
examples/pdptw/pdptw_600/LC1_6_3.txt,ucb-tuned,300,310,36,13097.573,310049097573,300.000
examples/pdptw/pdptw_600/LC1_6_5.txt,ucb-tuned,300,54,126,39358.622,54165358622,300.000
examples/pdptw/pdptw_100/lc101.txt,ucb-tuned,300,0,11,869.913,11869913,18.190
examples/pdptw/pdptw_100/lc102.txt,ucb-tuned,300,0,10,828.96,10828960,4.297
examples/pdptw/pdptw_100/lc103.txt,ucb-tuned,300,0,11,931.356,11931356,18.931
examples/pdptw/pdptw_100/lc104.txt,ucb-tuned,300,0,10,876.779,10876779,12.598
examples/pdptw/pdptw_100/lc105.txt,ucb-tuned,300,0,11,859.085,11859085,26.426
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,21,2758.625,23758625,15.650
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,22,3207.365,25207365,53.784
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3360.76,23360760,32.469
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3412.99,22412990,70.754
examples/pdptw/pdptw_200/LC1_2_5.txt,egreedy-tuned,300,0,21,2863.345,23863345,44.411
examples/pdptw/pdptw_400/LC1_4_1.txt,egreedy-tuned,300,0,45,8649.081,53649081,57.015
examples/pdptw/pdptw_400/LC1_4_2.txt,egreedy-tuned,300,0,47,9089.001,56089001,50.931
examples/pdptw/pdptw_400/LC1_4_3.txt,egreedy-tuned,300,0,45,9279.167,54279167,48.728
examples/pdptw/pdptw_400/LC1_4_5.txt,egreedy-tuned,300,0,47,8887.917,55887917,87.972
examples/pdptw/pdptw_400/LC1_4_4.txt,egreedy-tuned,300,0,39,9188.878,48188878,117.615
examples/pdptw/pdptw_600/LC1_6_3.txt,egreedy-tuned,300,0,70,19260.146,89260146,113.639
examples/pdptw/pdptw_600/LC1_6_2.txt,egreedy-tuned,300,0,73,18527.416,91527416,85.398
examples/pdptw/pdptw_600/LC1_6_1.txt,egreedy-tuned,300,0,70,17199.616,87199616,84.543
examples/pdptw/pdptw_600/LC1_6_4.txt,egreedy-tuned,300,0,69,20204.894,89204894,156.620
examples/pdptw/pdptw_600/LC1_6_5.txt,egreedy-tuned,300,0,72,17116.041,89116041,81.392
examples/pdptw/pdptw_100/lc101.txt,egreedy-tuned,300,0,10,828.96,10828960,0.864
examples/pdptw/pdptw_100/lc103.txt,egreedy-tuned,300,0,10,836.704,10836704,57.100
examples/pdptw/pdptw_100/lc102.txt,egreedy-tuned,300,0,10,828.96,10828960,2.315
examples/pdptw/pdptw_100/lc105.txt,egreedy-tuned,300,0,10,828.96,10828960,1.219
examples/pdptw/pdptw_100/lc104.txt,egreedy-tuned,300,0,10,819.908,10819908,14.723
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,24,3226.154,27226154,69.363
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,25,3657.105,28657105,101.218
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,22,3796.167,25796167,133.582
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,20,3209.533,23209533,108.600
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,25,3592.041,28592041,94.952
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,54,9635.966,63635966,246.011
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,26,65,18611.491,26083611491,300.000
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,60,11116.634,71116634,224.307
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17376.295,30072376295,300.000
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12707.204,50045707204,300.000
